,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,2-10 keV (XMM)       ,2.9e-13,           ...,erg/s/cm^2^          ,1.45e+18,2e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2004A&A...416..901C,1
1,2,2-10 keV (XMM)       ,2.59e-13,           ...,erg/cm^2^/s          ,1.45e+18,1.79e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2011A&A...530A..42C,2
2,3,2-10 keV (XMM)       ,2.91e-16,           ...,W/m^2^               ,1.45e+18,2.0099999999999998e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2008A&A...487..119D,3
3,4,2-8 keV (XMM)        ,3.1e-13,+/- 4.01E-14 ,erg cm^-2^ s^-1^     ,1.21e+18,2.56e-08,+/- 3.31E-09 ,Jy                   ,"Broad-band
","18"" radius aperture                     ",2006MNRAS.366..171G,4
4,5,0.5-8 keV (Chandra)  ,4.4610000000000005e-14,           ..., erg/cm^2^/s         ,1.03e+18,4.33e-09,    ...      ,Jy                   ,"Broad-band
",                                        ,2009MNRAS.392.1509G,5
5,6,FUV (GALEX) AB       ,21.5547,+/- 0.343242 ,mag                  ,1950000000000000.0,8.67e-06,+/- 2.74E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,6
6,7,FUV (GALEX) AB       ,21.797,+/- 0.358420 ,mag                  ,1950000000000000.0,6.94e-06,+/- 2.29E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,7
7,8,FUV (GALEX) AB       ,21.8829,+/- 0.153789 ,mag                  ,1950000000000000.0,6.41e-06,+/- 9.08E-07 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,8
8,9,FUV (GALEX) AB       ,22.2606,+/- 0.188192 ,mag                  ,1950000000000000.0,4.53e-06,+/- 7.84E-07 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,9
9,10,NUV (GALEX) AB       ,20.8363,+/- 0.162699 ,mag                  ,1290000000000000.0,1.6800000000000002e-05,+/- 2.52E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,10
