,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 4.70E-11                      ,+/- 0.51E-11 ,erg/s/cm^2^          ,2.53e+19,1.8600000000000002e-07,+/- 2.02E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,15-150 keV (Swift)   , 3.8e-11                       ,+/- 4.5e-12 ,erg/cm^2^/s          ,1.99e+19,1.91e-07,+/- 2.26E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,2
2,3,40-100 keV INTEGRAL  ,...                            ,<2.2        , milliCrab           ,1.69e+19,,<   1.23E-07 ,Jy                   ,"Broad-band
",Time-averaged flux                      ,2007ApJS..170..175B,3
3,4,40-100 keV INTEGRAL  , 2.80E-11                      ,           ...,erg/cm^2^/s          ,1.69e+19,1.66e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,4
4,5,15-55 keV (Swift)    , 2.82E-11                      ,+/- 0.21E-11 ,erg/cm^2^/s          ,8.46e+18,3.33e-07,+/- 2.48E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,5
5,6,20-40 keV (INTEGRAL) , 2.6                           ,+/- 0.6    , milliCrab           ,7.25e+18,2.7100000000000003e-07,+/- 6.26E-08 ,Jy                   ,"Broad-band
",Time-averaged flux                      ,2007ApJS..170..175B,6
6,7,20-40 keV (INTEGRAL) , 2.10E-11                      ,           ...,erg/cm^2^/s          ,7.25e+18,2.9e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,7
7,8,2-10 keV (Swift)     , 2.40E-11                      ,           ..., erg/cm^2^/s         ,1.45e+18,1.66e-06,    ...      ,Jy                   ,"Broad-band
",Variable                                ,2007ApJ...668...81M,8
8,9,2-10 keV (XMM)       , 182.74E-13                    ,           ...,erg/cm^2^/s          ,1.45e+18,1.26e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2011A&A...532A..84S,9
9,10,0.2-2 keV (ROSAT)    , 7.5450E-12                    ,+/- 2.0 %  ,erg/s/cm^2^          ,3.15e+17,2.4e-06,+/- 4.76E-08 ,Jy                   ,"Broad-band
",                                        ,2000WGA...C...0000W,10
10,11,0.5-2 keV (XMM)      , 166.48E-13                    ,           ...,erg/cm^2^/s          ,3.02e+17,5.51e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2011A&A...532A..84S,11
11,12,FUV (GALEX) AB       , 14.3565                       ,+/- 0.0108329 ,mag                  ,1950000000000000.0,0.00657,+/- 6.55E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,12
12,13,FUV (GALEX) AB       , 14.7350                       ,+/- 0.0139827 ,mag                  ,1950000000000000.0,0.00463,+/- 5.97E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,13
13,14,FUV (GALEX) AB       , 14.8569                       ,+/- 0.00472778 ,mag                  ,1950000000000000.0,0.00414,+/- 1.80E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,14
14,15,FUV (GALEX) AB       , 15.2842                       ,+/- 0.00637555 ,mag                  ,1950000000000000.0,0.00279,+/- 1.64E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,15
15,16,NUV (GALEX) AB       , 14.2941                       ,+/- 0.00585324 ,mag                  ,1290000000000000.0,0.006959999999999999,+/- 3.75E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,16
16,17,NUV (GALEX) AB       , 15.1271                       ,+/- 0.00964647 ,mag                  ,1290000000000000.0,0.00323,+/- 2.87E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,17
17,18,NUV (GALEX) AB       , 14.4700                       ,+/- 0.00229643 ,mag                  ,1290000000000000.0,0.00592,+/- 1.25E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,18
18,19,NUV (GALEX) AB       , 15.1376                       ,+/- 0.00351408 ,mag                  ,1290000000000000.0,0.0032,+/- 1.04E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,19
19,20,u (SDSS PSF) AB      , 13.959                        ,+/- 0.028  ,asinh mag            ,836000000000000.0,0.00983,+/- 2.53E-04 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,20
20,21,u (SDSS CModel) AB   , 13.912                        ,           ...,asinh mag            ,836000000000000.0,0.0103,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,21
21,22,u (SDSS Model) AB    , 14.958                        ,+/- 0.009  ,asinh mag            ,836000000000000.0,0.00392,+/- 3.25E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,22
22,23,103a-O (POSS-I O)    , 14.74                         ,           ...,mag                  ,740000000000000.0,0.00484,    ...      ,Jy                   ,"Broad-band
",                                        ,2006ApJ...639...37K,23
23,24,m_p                  , 14.4                          ,+/- 0.4    ,mag                  ,681000000000000.0,0.0074,+/- 3.30E-03 ,Jy                   ,"Broad-band
",                                        ,1965CGCG5.C...0000Z,24
24,25,B (m_B^0)            , 13.60                         ,           ...,mag                  ,681000000000000.0,0.0155,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,25
25,26,B (m_B)              , 14.04                         ,+/- 0.19   ,mag                  ,681000000000000.0,0.0103,+/- 1.97E-03 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,26
26,27,J_pg                 , 14.9                          ,+/- 0.3    , mag                 ,641000000000000.0,0.00433,+/- 1.20E-03 ,Jy                   ,"Broad-band
",Isophotal mag                           ,2007ApJS..170...33P,27
